Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18211.2745901556,18821.4773892062,18569.8127525565,17634.2563519674,18046.0202439789,20319.6306283956,21861.32550987,23468.5968306374,21318.9641694318,20533.035061907,21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.9228108485,40960.0544948199,49601.6567082178,42772.3591664498,52022.1255961876,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54066.4712686117,57373.6866841281
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.9896863626,22410.9117362704,24880.164070125,24081.5278077646,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45237.8050921543,47431.630607607,51461.9547804677
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20600.3752547608,21041.6606401567,23372.6191335431,22283.9360097924,24208.5548408211,28413.8264387368,27489.5551770488,24820.9380503896,25338.4432934904,25244.2750474813,23041.5347290428,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.7059429767,44262.8960009954,48106.892915788,44583.5448070814,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.5403601178,40991.8081381432,42012.0999001128,44219.5619960117,47518.6360388914
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21448.3619600057,21768.3432941828,20879.8483300891,20121.1612532855,19935.3814579208,20613.7878829216,21227.3475315896,21829.2334443229,20952.0694643937,22238.6645356943,24190.2496150045,23738.180723841,24169.2847344718,28200.6580773382,32034.3077408421,36266.1871235853,40385.869955477,44543.0410359004,46594.4509535289,40773.061528975,47450.3184700703,52101.7960864825,52542.3466648232,52504.655704109,50835.5111782446,43495.0543869902,42279.9008231637,45069.9272544324,46232.9896226967
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2494.52566886254,2803.56209049973,3350.21384457649,3535.1735995737,4024.21693223695,5107.27680233606,5349.80412655622,5745.37379549796,5446.58061279416,4957.77788383624,5074.90162375009,4574.59442067573,4446.25050488693,4772.5628196506,6194.85310698418,7598.52512108889,9464.55024290607,10502.3545202737,10751.479674217,10208.9067622861,12808.034586422,14637.2402355403,15351.5513257697,15842.940805218,14670.9967606057,13574.1718307156,13748.0876632921,15037.3502805385,15923.3587375381
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,3917.15984010204,2878.71928306369,3352.03416144651,3931.74446274757,4601.95231248673,5788.15073679709,6493.86334640108,5996.83381043982,6458.90450104404,6307.69800377791,6011.61522035701,6609.20552986054,8032.89661245767,9773.11750251281,11685.8872407234,13346.1763898857,15183.6360541375,18373.6489976913,22698.8539572605,19741.5976279826,19808.0710912518,21717.4579392202,19729.8705111763,19916.0193873722,19744.5586092159,17715.6168523009,18463.3865756564,20379.8960396417,23078.5734865691
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26891.4464489571,27011.3774590051,29569.6603567112,27597.9752286357,29995.5796235479,35351.3654606819,35650.7140860994,32835.9399398833,33368.142415092,33440.7948054204,30743.5476816354,30751.654348268,33228.6935448819,40458.7773986609,46511.5983324305,48799.8256011275,52026.9995142723,58487.0549677696,64322.0635020842,58163.2768762815,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8560039631,54663.9983719195,57141.0598350413,61350.3479093986
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,..,..,..,2681.82012187857,2814.83473444209,3130.80709364714,3376.79437256502,3678.15826423064,4087.50330566881,4144.63081737072,4075.97063851071,4509.1784599903,5344.8777984536,7206.16648010912,8912.99219516932,10406.3968759176,12631.5677723615,16741.9391245668,18227.1200781939,14794.9707926449,14784.3810806949,17624.0441399335,17534.4215441923,19174.100729108,20367.1026566799,17522.230186252,18237.2958432683,20337.8497289442,23266.3462718751
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,28364.6450765922,25484.7392935746,22319.059460246,17608.8123902264,20301.333085866,26271.5998141691,25783.4504878611,24691.8728133698,26009.2694886182,26177.3479836441,24285.4668205162,24946.1891891404,26869.6749036293,32855.1326287803,37702.8453762641,39040.2888825052,41188.0936997302,48414.8450929722,53554.0389224673,47293.9928335042,46459.9732548543,51081.9976703127,47710.7902169415,49878.0432444536,50260.2998588958,42811.2129936435,43777.4400888075,46191.9311557681,50152.3401411303
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,21793.8426479832,21675.0642485493,23813.7118417151,22380.1039619355,23496.5233222666,26890.2198804535,26871.8290189054,24228.9423508964,24974.2721990005,24673.1989691744,22364.0293943406,22433.5557141945,24177.3351674642,29568.385949668,33741.2651469175,34760.1877663866,36443.6234414411,41508.4339850416,45334.1144358246,41575.4187483737,40638.33400426,43790.7320482019,40874.7035053457,42592.9340943342,43008.6473817107,36613.3752159613,36962.222290118,38679.1271482419,41463.6440227034
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,22303.9613327585,23357.757725073,26438.2303888417,25522.6295733618,27076.60675014,31658.3493789135,30485.8665482279,26964.0494672673,27289.0593603191,26725.9152182573,23635.9292203977,23607.8828553922,25077.7290759602,30243.5765296979,34044.0536341248,34507.3688142332,36323.4477421822,41587.2128984264,45427.151677489,41485.9016495139,41531.9341978689,46644.776027968,43858.3630551076,46285.7640688407,47959.9932737599,41139.5445685533,42098.9204453545,44240.0441099604,47603.0276328757
